;Filename;Dice;Intersection Over Union
0;Position_0001.png;0.9190423348787438;0.8502112296740861
1;Position_0002.png;0.9034625470503076;0.8239231187091621
2;Position_0003.png;0.9209895674276378;0.8535502071301801
3;Position_0004.png;0.9144926475967384;0.8424564388506383
4;Position_0005.png;0.8553783035677013;0.7473022027103677
5;Position_0006.png;0.8792656545670223;0.7845442315187435
6;Position_0007.png;0.8925878033205548;0.8060122663188085
7;Position_0014.png;0.8837047679837325;0.791640736071733
8;Position_0072.png;0.79508775792939;0.6598719327576965
MOYENNE;;0.8848901538135365;0.7955013737490462
